price,lotsize(m^2),bedrooms,bathrms,stories,driveway,recroom,fullbase,gashw,airco,garagepl,prefarea
64000,419.1594,4,1,2,1,0,0,0,1,2,0
51000,418.23,4,2,2,1,0,1,0,0,2,0
51000,418.23,2,1,1,0,0,0,0,0,0,0
51500,418.23,2,1,1,1,0,0,0,0,0,0
74500,418.23,4,2,1,0,0,1,0,1,2,0
57000,418.23,3,2,2,0,0,1,0,1,0,0
57250,418.23,3,1,2,0,0,1,0,1,0,0
60000,418.23,3,1,1,1,0,1,0,0,0,0
61000,418.23,2,1,1,1,0,0,0,1,2,0
62000,418.23,3,2,3,1,0,0,1,0,1,0
71000,409.86539999999997,4,3,2,1,0,1,0,0,2,0
60000,409.86539999999997,2,1,1,0,0,0,0,0,1,0
61500,408.936,2,1,1,1,0,0,0,0,1,0
61000,405.2184,4,1,2,1,0,0,0,0,0,0
69500,404.289,2,1,1,1,0,1,0,0,0,0
58000,403.3596,3,1,1,1,0,0,0,0,0,0
58000,401.50079999999997,3,1,2,1,0,0,0,0,2,1
67000,401.50079999999997,3,1,1,1,0,0,0,0,0,1
52000,397.78319999999997,2,1,1,1,0,0,0,1,2,0
75000,395.9244,4,1,2,1,0,1,0,1,0,0
50000,394.06559999999996,3,1,2,1,0,0,0,1,0,0
70100,390.34799999999996,3,1,2,1,0,0,0,0,1,0
69000,386.63039999999995,3,1,3,1,0,0,0,0,0,0
66000,386.63039999999995,3,1,1,1,1,1,0,1,0,0
52000,383.8422,3,2,2,1,0,0,0,0,2,0
48000,382.9128,2,1,2,1,0,0,0,0,0,0
70000,382.9128,2,1,1,1,0,1,0,0,1,0
57000,381.054,4,1,1,0,0,1,0,0,0,0
64900,381.054,2,2,1,1,1,1,0,0,0,0
70000,380.5893,3,1,2,0,1,1,0,1,0,0
55000,379.1952,2,1,1,1,0,0,0,0,0,0
59500,379.1952,3,1,2,1,0,0,0,0,2,0
60000,379.10226,3,1,3,1,0,0,0,0,0,0
62000,378.7305,3,1,1,1,1,1,0,0,2,0
53000,376.407,2,1,1,1,0,0,0,0,0,0
57000,376.407,2,1,2,1,1,1,0,0,0,1
59500,376.03524,3,1,2,1,0,1,0,0,1,0
47000,375.4776,2,1,1,1,0,0,0,0,0,0
47500,375.4776,2,1,1,1,0,0,0,0,1,0
48900,375.4776,2,1,1,1,0,0,0,0,0,0
53000,375.4776,2,1,1,1,0,0,0,0,0,0
64000,375.4776,3,1,2,1,0,0,0,0,1,0
58500,375.4776,2,1,2,1,0,0,0,0,1,0
61700,374.73408,2,1,1,1,0,1,0,0,0,0
49000,371.76,2,1,1,1,0,0,0,0,0,0
51500,371.76,2,1,1,1,0,0,0,0,0,1
65500,371.76,3,1,2,1,0,0,0,0,1,0
64000,371.76,3,1,2,1,0,0,0,0,2,0
60000,371.76,4,2,2,0,0,0,0,0,0,0
50000,370.8306,3,1,2,1,0,0,0,0,0,0
63000,368.78592,3,1,2,0,0,0,0,0,0,0
57000,368.0424,3,1,2,1,0,0,0,0,0,0
46500,365.25419999999997,2,1,1,0,0,0,0,0,0,0
62500,362.466,3,1,2,1,0,0,0,0,0,0
66000,360.6072,3,2,2,1,0,1,0,0,2,0
49000,357.81899999999996,3,1,1,1,0,0,0,0,0,0
50500,357.81899999999996,3,1,1,1,0,0,0,0,2,0
55000,357.81899999999996,2,1,1,1,0,0,0,0,0,0
65500,356.8896,3,1,2,1,0,0,0,0,1,1
56000,354.65904,2,1,1,1,0,1,0,1,2,0
47000,352.42848,4,1,2,1,0,0,0,0,0,0
55500,351.3132,2,1,2,1,1,1,0,0,0,0
65000,349.45439999999996,3,1,1,1,0,0,0,0,2,0
48000,348.525,3,1,1,1,0,0,0,0,0,0
63500,348.525,2,1,1,1,1,1,0,0,0,0
66500,348.0603,3,1,2,1,0,1,0,0,0,0
48000,345.73679999999996,2,1,1,0,0,0,0,1,0,0
58500,342.01919999999996,3,2,2,1,0,0,0,0,0,0
50000,339.231,3,1,2,1,0,0,0,0,0,0
46200,338.3016,4,1,2,1,0,1,0,0,0,0
48500,338.3016,2,1,1,1,0,0,0,0,0,0
50000,338.3016,2,1,1,1,0,0,0,0,1,0
51000,338.3016,2,1,1,1,0,0,0,0,0,0
65000,338.3016,3,1,2,1,0,0,0,1,0,0
60000,338.3016,3,2,2,1,0,1,0,0,0,0
67000,337.37219999999996,3,1,2,1,0,0,0,0,2,0
52500,337.37219999999996,2,1,1,1,0,1,0,0,0,0
52500,337.37219999999996,2,1,1,1,0,0,0,1,0,0
57500,337.37219999999996,3,2,2,1,0,0,1,0,2,0
50000,334.584,6,1,2,1,0,0,0,0,1,0
52500,334.584,2,1,1,1,0,0,0,0,0,0
53000,334.584,3,1,1,1,0,0,0,0,1,0
54000,334.584,2,1,1,1,0,0,0,0,0,0
58550,334.584,3,1,1,1,0,1,0,1,0,1
53000,333.09695999999997,2,1,1,1,0,0,1,0,0,0
52000,331.7958,3,1,2,1,0,1,0,0,0,0
72000,329.00759999999997,2,1,1,0,1,1,0,0,0,0
65000,327.1488,3,1,1,1,0,0,0,0,0,1
64500,327.1488,2,1,2,1,0,0,0,0,0,1
51900,327.1488,3,1,1,1,0,0,0,0,2,1
52000,327.1488,2,2,1,1,0,1,0,0,0,0
60000,327.1488,3,1,2,1,0,0,0,0,0,1
50000,326.40528,2,1,1,1,0,0,0,0,1,1
64500,326.2194,3,1,3,1,0,0,0,0,0,0
63900,326.2194,3,1,2,1,0,0,0,0,0,0
44500,325.29,2,1,1,1,0,0,0,0,0,0
45000,325.29,2,1,1,0,0,1,0,0,0,0
48000,325.29,4,1,2,1,0,0,0,1,2,0
62000,325.29,4,1,2,1,0,0,0,0,2,0
47000,323.4312,4,1,2,0,0,0,0,0,1,0
50000,323.4312,3,1,1,0,0,0,0,1,0,0
53500,323.4312,2,1,1,1,0,0,0,0,0,1
57500,321.57239999999996,3,2,1,1,0,1,0,1,1,0
57250,321.57239999999996,4,1,2,1,0,0,0,1,0,0
45000,320.643,1,1,1,1,0,0,0,0,0,0
45000,320.643,3,1,2,1,0,1,0,0,0,0
48500,320.643,3,1,1,1,0,1,0,0,2,0
64500,320.643,3,1,2,1,0,1,0,0,1,0
59900,320.643,3,1,2,1,0,0,0,0,1,0
69900,317.85479999999995,4,2,2,1,0,1,0,1,2,0
68100,317.85479999999995,4,2,2,1,0,0,0,0,0,0
54000,317.85479999999995,2,1,2,1,0,0,1,0,1,0
61100,315.996,3,1,2,1,0,1,0,0,2,1
54800,311.349,3,1,2,1,0,0,0,0,0,0
56000,305.7726,2,1,1,1,0,0,1,0,1,0
43000,301.12559999999996,3,1,2,1,0,0,0,0,2,0
48000,296.0139,2,1,1,1,0,1,0,0,2,0
49000,296.0139,2,1,1,1,0,0,0,0,2,0
47000,295.5492,4,1,2,1,0,1,0,1,0,0
52000,295.5492,3,1,2,0,0,1,0,0,0,0
55500,295.5492,4,2,2,1,0,0,0,0,0,0
55000,295.5492,2,2,1,1,0,1,0,0,2,0
63900,293.87628,3,1,2,1,0,0,0,1,1,0
42000,292.76099999999997,3,1,2,0,0,0,0,0,0,0
51000,292.76099999999997,3,1,2,1,0,1,0,0,0,0
54500,292.76099999999997,2,2,1,0,0,1,0,0,0,0
46000,289.9728,3,1,2,0,0,0,0,0,0,0
50000,289.9728,3,1,2,1,0,0,0,0,1,0
52900,289.9728,3,1,2,0,0,1,1,0,0,0
48000,288.114,3,1,2,0,0,1,0,0,0,0
43000,287.1846,3,1,2,0,0,0,0,0,0,0
44000,287.1846,2,1,1,1,1,1,0,0,0,0
45000,285.23285999999996,2,1,1,1,0,0,0,0,1,0
49500,284.39639999999997,3,1,1,1,0,0,0,0,0,0
41000,282.5376,2,1,1,0,0,0,0,0,0,0
50000,282.16584,3,1,2,1,0,1,0,0,0,0
42300,278.82,2,1,2,1,0,0,0,0,0,0
44500,278.82,3,1,1,0,0,0,0,1,0,0
58000,278.82,4,1,3,1,0,1,0,1,2,0
56000,278.82,3,1,2,1,0,0,0,0,0,0
52000,278.82,2,1,2,1,0,0,0,1,0,0
60000,274.45182,3,1,2,1,0,1,0,1,0,0
62900,267.6672,3,1,2,1,0,0,0,0,0,1
66000,266.7378,2,1,2,1,1,1,0,0,0,1
54000,265.43664,3,1,3,1,0,0,0,0,0,1
52000,264.87899999999996,3,2,2,0,0,1,0,0,0,1
43000,263.4849,2,1,1,1,0,0,0,0,0,0
38000,260.23199999999997,3,1,1,1,0,0,0,0,0,0
60500,259.02378,3,1,1,1,0,1,0,0,0,1
60000,255.30617999999998,4,2,2,0,0,0,0,0,0,0
42000,250.938,2,1,1,0,0,0,0,0,0,0
47900,250.938,3,1,1,0,0,0,0,0,0,0
46000,249.45095999999998,2,1,1,1,0,0,0,1,1,0
40000,246.291,3,1,2,1,0,1,0,0,1,0
40500,245.36159999999998,2,1,1,0,0,0,0,0,1,0
60000,242.5734,4,3,2,0,0,0,0,0,0,0
49000,242.5734,3,1,2,1,0,1,0,0,0,1
65000,236.99699999999999,3,1,2,1,0,1,0,0,0,0
53900,234.2088,5,2,1,0,0,1,0,1,1,0
47000,232.35,2,1,1,0,0,0,0,1,0,0
38000,225.8442,3,1,1,0,0,0,0,0,0,0
44555,222.87012,3,1,1,1,0,0,0,0,0,1
60000,216.0855,3,1,2,0,0,0,0,0,0,0
52000,211.43849999999998,3,1,3,1,0,0,1,1,0,1
55000,202.23744,2,1,2,1,1,0,0,0,0,1
61000,202.1445,3,1,2,0,1,1,0,1,0,0
44000,200.75039999999998,3,1,2,0,0,1,0,0,0,0
60000,199.35629999999998,3,1,3,1,0,0,0,0,1,1
56000,199.35629999999998,4,2,1,1,0,1,0,0,0,1
47000,199.35629999999998,3,1,2,1,0,1,0,0,0,1
49500,199.35629999999998,3,1,3,1,0,0,0,0,0,1
49000,199.35629999999998,3,1,3,1,0,0,0,0,0,1
47600,199.35629999999998,3,1,2,1,0,1,0,0,0,1
50000,198.4269,3,2,2,0,0,0,0,0,0,0
55000,187.27409999999998,3,1,2,1,0,1,0,0,0,1
38000,185.88,2,1,2,1,0,0,0,0,0,0
32000,181.233,3,1,1,0,0,0,1,0,0,0
49000,181.233,3,2,2,1,0,1,0,0,0,1
32500,170.63783999999998,2,1,1,0,0,1,0,0,0,0
45000,153.351,3,1,2,0,0,1,0,0,0,0
